iri,label,similar_label,similar_ontology,score,similar_iri
http://purl.org/dc/terms/description,description,Description,dc,0.9998264312744141,http://purl.org/dc/elements/1.1/description
http://purl.org/dc/terms/description,description,Description,dcterms,0.9998264312744141,http://purl.org/dc/terms/description
http://purl.org/dc/terms/description,description,Abstract,dcterms,0.8395822048187256,http://purl.org/dc/terms/abstract
http://purl.org/dc/terms/description,description,comment,rdfs,0.8203732967376709,http://www.w3.org/2000/01/rdf-schema#comment
http://purl.org/dc/terms/description,description,describes,afo,0.7977626323699951,http://purl.allotrope.org/ontologies/property#AFX_0002699
http://purl.org/dc/terms/description,description,description,schemaorg_https,0.7959012985229492,https://schema.org/description
http://purl.org/dc/terms/description,description,description,schemaorg_http,0.795696496963501,http://schema.org/description
http://purl.org/dc/terms/description,description,abstract,schemaorg_http,0.7946937084197998,http://schema.org/abstract
http://purl.org/dc/terms/description,description,abstract,schemaorg_https,0.7942066192626953,https://schema.org/abstract
http://purl.org/dc/terms/description,description,describes,sio,0.7936840057373047,http://semanticscience.org/resource/SIO_000563
http://purl.org/dc/terms/title,title,Title,dcterms,0.9993810653686523,http://purl.org/dc/terms/title
http://purl.org/dc/terms/title,title,Title,dc,0.9993810653686523,http://purl.org/dc/elements/1.1/title
http://purl.org/dc/terms/title,title,Alternative Title,dcterms,0.8437764644622803,http://purl.org/dc/terms/alternative
http://purl.org/dc/terms/title,title,Name,reproduceme,0.8413405418395996,https://w3id.org/reproduceme#name
http://purl.org/dc/terms/title,title,name,schemaorg_https,0.8276417255401611,https://schema.org/name
http://purl.org/dc/terms/title,title,name,schemaorg_http,0.8270561695098877,http://schema.org/name
http://purl.org/dc/terms/title,title,comment,rdfs,0.8158004283905029,http://www.w3.org/2000/01/rdf-schema#comment
http://purl.org/dc/terms/title,title,label,rdfs,0.8150651454925537,http://www.w3.org/2000/01/rdf-schema#label
http://purl.org/dc/terms/title,title,Identifier,dc,0.8073704242706299,http://purl.org/dc/elements/1.1/identifier
http://purl.org/dc/terms/title,title,title,uniprotrdfs,0.80476975440979,http://purl.uniprot.org/core/title
https://w3id.org/evorao/ID,ID,ID,evorao,0.9992837905883789,https://w3id.org/evorao/ID
https://w3id.org/evorao/ID,ID,has ID,bao,0.8809480667114258,http://www.bioassayontology.org/bao#BAO_0000383
https://w3id.org/evorao/ID,ID,has id value,bao,0.8547971248626709,http://www.bioassayontology.org/bao#BAO_0000203
https://w3id.org/evorao/ID,ID,taxonomic ID,evorao,0.8321330547332764,https://w3id.org/evorao/taxonomicID
https://w3id.org/evorao/ID,ID,Id,reproduceme,0.8201546669006348,https://w3id.org/reproduceme#id
https://w3id.org/evorao/ID,ID,patient ID,ohd,0.8147768974304199,http://purl.obolibrary.org/obo/OHD_0000014
https://w3id.org/evorao/ID,ID,ROR iD,evorao,0.8035390377044678,https://w3id.org/evorao/rORiD
https://w3id.org/evorao/ID,ID,LINCS ID,clo,0.8023250102996826,http://purl.obolibrary.org/obo/CLO_0000178
